title,author,cover,pages,publisher,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
"The Lion, the Witch and the Wardrobe",C.S. Lewis,Paperback,NA,HarperCollins Publishers,2005,4.22,2055091,985699,650702,323439,68978,26273,1
The Girl on the Train,Paula Hawkins (Author),Hardcover,NA,Riverhead,2015,3.92,2002733,648904,764208,423888,117612,48121,0
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré (Illustrator)",Hardcover,NA,Scholastic,2003,4.470000000000001,1734916,370456,543695,577239,132741,110785,1
Charlotte's Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",Paperback,NA,HarperCollinsPublishers,2001,4.17,1364643,638927,422372,227845,50232,25267,1
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard (Translator), Ivan Minatti (Translator), Nguyễn Thành Vũ (Illustrator), Janez Gradišnik (Spremna beseda)",Paperback,93,Harcourt,2000,4.31,1277979,717114,331172,160400,46684,22609,1
Where the Sidewalk Ends,Shel Silverstein,Hardcover,176,Harpercollins Childrens,2002,4.3,1151744,627508,320602,150325,33960,19349,1
The Help,Kathryn Stockett (Author),Hardcover,451,Amy Einhorn,2009,4.470000000000001,1084920,253256,615592,169040,32463,14569,1
The Giving Tree,Shel Silverstein,Hardcover,64,HarperCollins Publishers,1964,4.38,876053,537395,198996,91887,26625,21150,1
Where the Wild Things Are,Maurice Sendak,Paperback,37,Red Fox,2000,4.22,788702,418885,200789,113243,34530,21255,1
City of Glass,Cassandra Clare (Author),Hardcover,NA,Margaret K McElderry,2009,4.319999999999999,767112,416566,220754,99082,22084,8626,1
Wonder,"R.J. Palacio, Raquel Jaramillo",Paperback,NA,Corgi Childrens,2013,4.45,682937,413805,188064,60285,13524,7259,1
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake (Illustrations)",Paperback,NA,Puffin,2005,4.14,635237,270445,221191,112895,21529,9177,1
Matilda,"Roald Dahl, Quentin Blake (Illustrator)",Paperback,240,Puffin,1998,4.319999999999999,606795,316480,192346,78403,13473,6093,1
Green Eggs and Ham,Dr. Seuss,Hardcover,62,Random House Books for Young Readers,1988,4.3,589816,330179,148571,81188,19319,10559,1
A Christmas Carol,"Charles Dickens, Joe L. Wheeler (Contributor)",Paperback,NA,Bethany House Publishers,1999,4.05,581817,229302,199933,116603,26812,9167,1
City of Fallen Angels,Cassandra Clare (Author),Hardcover,NA,Simon,2011,4.14,461278,203325,149213,82501,20512,5727,1
Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",Paperback,239,Penguin Group,2000,4.07,443721,177811,150186,89003,20358,6363,1
Diary of a Wimpy Kid,Jeff Kinney (Author),Hardcover,224,Amulet,2007,3.9899999999999998,411413,181903,105203,78514,28198,17595,0
The Cat in the Hat,Dr. Seuss,Hardcover,61,Random House Books for Young Readers,1985,4.17,406186,203447,105827,69531,18306,9075,1
City of Lost Souls,Cassandra Clare (Author),Hardcover,546,Margaret K McElderry,2012,4.28,406002,209032,123277,55728,13448,4517,1
The Very Hungry Caterpillar,Eric Carle,Board Book,26,Puffin,1994,4.3,381115,218795,87955,51573,14316,8476,1
Alice in Wonderland,"Jane Carruth (Adapted By), Lewis Carroll (Original Story By), Rene Cloke (Illustrator)",Hardcover,92,Gramercy,2004,4.03,374182,151171,119218,75820,19668,8305,1
A Light in the Attic,Shel Silverstein,Hardcover,NA,Harpercollins Childrens,2002,4.35,363802,206247,97810,44940,9587,5218,1
James and the Giant Peach,"Roald Dahl, Quentin Blake (Illustrator)",Hardcover,NA,Alfred A Knopf,2002,4.02,363059,134847,127477,78421,16307,6007,1
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow (Illustrator)",Paperback,NA,Penguin,1995,3.9899999999999998,352683,129061,120163,80183,17227,6049,0
The BFG,"Roald Dahl, Quentin Blake (Illustrator)",Paperback,199,Puffin,2001,4.23,352522,171320,111584,54041,10768,4809,1
Stardust: Being a Romance within the Realms of Faerie,"Neil Gaiman (Author), Charles Vess (Illustrator)",Paperback,212,Vertigo,1999,4.09,344704,130070,134800,63501,12416,3917,1
