cover,pages,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Paperback,93,2000,4.31,1277979,717114,331172,160400,46684,22609,1
Hardcover,176,2002,4.3,1151744,627508,320602,150325,33960,19349,1
Hardcover,64,1964,4.38,876053,537395,198996,91887,26625,21150,1
Paperback,37,2000,4.22,788702,418885,200789,113243,34530,21255,1
Paperback,240,1998,4.319999999999999,606795,316480,192346,78403,13473,6093,1
Hardcover,62,1988,4.3,589816,330179,148571,81188,19319,10559,1
Paperback,239,2000,4.07,443721,177811,150186,89003,20358,6363,1
Hardcover,224,2007,3.9899999999999998,411413,181903,105203,78514,28198,17595,0
Hardcover,61,1985,4.17,406186,203447,105827,69531,18306,9075,1
Board Book,26,1994,4.3,381115,218795,87955,51573,14316,8476,1
Hardcover,92,2004,4.03,374182,151171,119218,75820,19668,8305,1
Paperback,199,2001,4.23,352522,171320,111584,54041,10768,4809,1
Paperback,212,1999,4.09,344704,130070,134800,63501,12416,3917,1
Paperback,172,2001,3.8699999999999997,327078,101234,118903,78642,20407,7892,0
Hardcover,64,2004,4.37,318139,189249,75493,38820,9435,5142,1
Paperback,208,1997,4.18,297853,136064,98732,48659,9769,4629,1
Hardcover,72,1998,4.35,272352,159365,66070,34180,8467,4270,1
Hardcover,40,2015,4.26,243524,132442,59680,37583,9484,4335,1
Hardcover,248,2015,4.02,223643,91091,70108,44255,12700,5489,1
Hardcover,32,2000,4.3,207394,117398,50553,28101,7649,3693,1
Paperback,64,1962,4.1899999999999995,206915,105868,52040,35192,9175,4640,1
Hardcover,72,2002,4.18,199236,96446,56760,35246,7552,3232,1
Paperback,32,1995,4.359999999999999,195857,126665,34677,19839,7452,7224,1
Paperback,44,1989,4.23,188999,97480,50982,30644,6821,3072,1
Hardcover,32,1968,4.3,187775,103394,47911,27924,6054,2492,1
Hardcover,224,2003,3.9899999999999998,171955,63980,58105,37461,8906,3503,0
Kindle Edition,224,2014,4.25,168511,91041,43336,23206,6497,4431,1
